name,orgType,theme,themes,venue,address,lat,lng,url,description,initiatives,labels
Pāuatahanui Freshwater Catchment Community,Advocacy / Research,Te Taiao,"Te Taiao, Know More Do More",Pāuatahanui,"Pāuatahanui, Porirua",-41.1013,174.9044,https://pauatahanui.org.nz/,Residents network set up by the Pāuatahanui Residents Association to improve freshwater quality and biodiversity across the streams and waterways of the Pāuatahanui Inlet catchment.,Catchment-wide water quality mahi | Stream planting with residents | Community information evenings,catchment | freshwater | residents-led
Whitby Residents Association,Community Group,How We Roll,"How We Roll, Te Taiao",Whitby Residents Association,"Whitby, Porirua",-41.12,174.885,http://www.whitby.org.nz/,"Incorporated residents association representing Whitby for 40+ years. Current focus includes Whitby Lake and Pāuatahanui Inlet water quality, Adventure Park lighting and Transmission Gully connections.",Whitby Lake and inlet water quality | Adventure Park improvements | Transmission Gully advocacy,residents association | Whitby
Plimmerton Residents' Association,Community Group,How We Roll,"How We Roll, Te Taiao",Plimmerton Residents' Association,"Plimmerton, Porirua",-41.0814,174.8637,https://www.plimmerton.nz/,"Voluntary community organisation representing Plimmerton and Camborne since 1927. Runs heritage, environmental and playground projects funded by donations, sponsorship and PCC's village programme.",Beach Road promenade | Playground and heritage projects | Environmental projects,residents association | Plimmerton | Camborne
Pāuatahanui Residents Association,Community Group,Te Taiao,"Te Taiao, How We Roll",Pāuatahanui Residents Association,"Pāuatahanui, Porirua",-41.1013,174.9044,https://pauatahanui.org.nz/,"Voluntary non-profit representing Pāuatahanui, Paekakariki Hill and Judgeford. Works to preserve rural character, protect the inlet, and record the area's Māori and European history.",Freshwater Catchment Community | Rural character advocacy | Local history projects,residents association | rural | Pāuatahanui
Titahi Bay Community Group,Community Group,Weaving Porirua Together,"Weaving Porirua Together, How We Roll",Titahi Bay,"Titahi Bay, Porirua",-41.1087,174.836,https://titahibay.org.nz/,"Community group serving, informing, engaging and activating the Titahi Bay community via events, the Titahi Bay Community website and affiliated groups such as Coastguard Mana.",Titahi Bay community website | Local events | Affiliated groups network,residents group | Titahi Bay
Titahi Bay Surf Life Saving Club,Community Group,How We Roll,"How We Roll, Te Taiao",Titahi Bay Surf Life Saving Club,"Cnr Beach Road & Toms Road, Titahi Bay, Porirua",-41.105,174.83,https://www.titahibayslsc.org.nz/,Volunteer surf lifesaving club patrolling Titahi Bay Beach on weekends over summer. Running a multi-year rebuild project with SLSNZ and PCC in response to coastal erosion.,Junior Surf programme | Weekend beach patrols | Rebuild Project,surf lifesaving | Titahi Bay | volunteer
Coastguard Mana,Community Group,How We Roll,"How We Roll, How Stuff Works",Mana Marina,"Mana Marina, Paremata",-41.1,174.87,https://coastguardmana.org.nz/,"Volunteer Coastguard unit established 1998 covering Titahi Bay, Porirua Harbour and the northern Cook Strait. Operates rescue vessels Porirua Rescue and Pelorus 24/7 for maritime search and rescue.",Porirua Rescue vessel | 24/7 SAR operations | Emergency-response training,coastguard | maritime SAR | volunteer
Ora Toa Health Services,Social Enterprise,How Stuff Works,"How Stuff Works, Weaving Porirua Together",Ora Toa,Porirua,-41.135,174.84,https://www.oratoa.co.nz/,"Iwi-owned primary health service owned and operated by Te Rūnanga o Toa Rangatira. Delivers low-cost GP care, Whānau Ora, Tamariki Ora, disability (Whaikaha), mental health and AOD services across Porirua and Wellington.",Ora Toa PHO GP network | Whānau Ora services | Tamariki Ora | Whaikaha (disability) | Community Health at Ranui Heights,iwi-owned | PHO | kaupapa Māori health
Ora Toa Mauriora,Social Enterprise,How Stuff Works,"How Stuff Works, Rangatahi",Ora Toa Mauriora,"2 Ngatitoa Street, Takapūwāhia, Porirua",-41.1355,174.8405,https://www.oratoa.co.nz/mauriora,"Kaupapa Māori free primary mental health and addictions service of Te Rūnanga o Toa Rangatira. Tū Te Wehi (mental health), Tū Te Wana (alcohol & other drug) and Tū Te Ihi (gambling harm).",Tū Te Wehi primary mental health | Tū Te Wana AOD | Tū Te Ihi gambling harm,kaupapa Māori | mental health | addictions
Tū Ora Compass Health,Social Enterprise,How Stuff Works,"How Stuff Works, Weaving Porirua Together",Tū Ora Compass Health,"1 Walton Leigh Avenue, Porirua",-41.138,174.842,https://tuora.org.nz/,"Not-for-profit Primary Health Organisation supporting 60+ general practices for 440,000+ enrolled people across Wellington, Hutt Valley, Porirua, Kāpiti and Wairarapa — including Porirua Union and Community Health Service and the Tumai Hauora ki Porirua Alliance.",Youth Health Ambassador Cadetships | Tumai Hauora ki Porirua Alliance | Tuakana-Teina peer support at Mana College,PHO | primary care | Tumai
Pacific Health Plus,Social Enterprise,How Stuff Works,"How Stuff Works, Weaving Porirua Together",Pacific Health Plus,"4 Bedford Court, Cannons Creek, Porirua",-41.148,174.852,https://www.phplus.co.nz/,Pacific-led primary health provider serving Porirua families from Cannons Creek. Partner in the Positively Pacific network alongside Pacific Health Service Hutt Valley and Vaka Atafaga.,Pacific GP and nursing services | Positively Pacific partnership | Community health clinics,Pacific | primary care | Cannons Creek
Vaka Atafaga Pacific Nursing Service,Social Enterprise,How Stuff Works,"How Stuff Works, Weaving Porirua Together",Vaka Atafaga,"6 Hagley Street, Porirua",-41.139,174.843,http://www.vakaatafaga.org.nz/,Pacific nursing service based in central Porirua providing culturally grounded nursing care in the community. Part of the Positively Pacific network.,Community Pacific nursing | Positively Pacific partner,Pacific nursing | community health | Porirua
Regional Public Health (Porirua),Council / Government,How Stuff Works,"How Stuff Works, Know More Do More",Regional Public Health Porirua,"Level 3 CityFitness Building, Walton Leigh Avenue, Porirua",-41.138,174.842,https://www.rph.org.nz/,"Regional Public Health service for Greater Wellington — Porirua office delivers immunisation, healthy homes (He Whare Taonga), the Porirua Children's Ear Van, early-childhood health and hauora kai programmes.",Porirua Children's Ear Van | He Whare Taonga housing programme | Immunisation and public health response,public health | immunisation | RPH
Porirua Chamber of Commerce,Advocacy / Research,How We Roll,"How We Roll, How Stuff Works",Porirua Chamber of Commerce,Porirua City Centre,-41.137,174.84,https://www.poriruachamber.co.nz/,"Chamber of Commerce representing 5,200+ Porirua businesses and partnering with Porirua City Council on city-centre revitalisation and investment.",City Centre Revitalisation partnership | BizHub pop-up partner | Business networking,chamber | business | city centre
Toa Developments,Social Enterprise,How We Roll,"How We Roll, How Stuff Works",Toa Developments,Porirua,-41.135,174.84,https://www.toadevelopments.co.nz/,"Te Rūnanga o Toa Rangatira's in-house development entity (established 2022) delivering residential and commercial property across the Ngāti Toa rohe — including Hagley Street Precinct, Commercial Corner and Kenepuru Landing.",Hagley Street Precinct | Commercial Corner Kenepuru | Kenepuru Landing (450 homes),iwi-owned | development | housing
Te Rā Nui — Eastern Porirua Development,Council / Government,How We Roll,"How We Roll, Te Taiao",Te Rā Nui,"Cannons Creek, Porirua",-41.148,174.852,https://teranuidevelopment.co.nz/,"Large-scale regeneration partnership between Kāinga Ora, Porirua City Council and Ngāti Toa Rangatira. Delivering 2,000+ new homes, upgrading 2,000+ state homes, and restoring Bothamley Park wastewater and Cannons Creek Park wetland.",Bothamley Park wastewater upgrade | Cannons Creek Park + wetland | New reservoir at Stemhead Lane | Eastern Porirua social homes,regeneration | housing | infrastructure
Pātaka Art + Museum,Council / Government,Know More Do More,"Know More Do More, Weaving Porirua Together",Pātaka Art + Museum,"17 Parumoana Street, Porirua",-41.1363,174.8418,https://pataka.org.nz/,"Porirua City Council's municipal art gallery and museum, opened 1998 in Te Marae o Te Umu Kai o Hau. Free admission; contemporary Māori, Pacific, NZ and Asian art; Whiti Te Rā! Ngāti Toa Rangatira exhibition; karesansui Japanese garden honouring sister-city Nishio.",Bottle Creek Gallery (local artists) | Whiti Te Rā! Ngāti Toa Rangatira exhibition | Friends of Pātaka Art Awards | Nishio sister-city Japanese garden,museum | gallery | Porirua CBD
Porirua City Libraries,Council / Government,Know More Do More,"Know More Do More, Weaving Porirua Together",Porirua City Libraries,"Corner Norrie & Parumoana Streets, Porirua",-41.1363,174.8418,https://porirualibrary.org.nz/,"Te Ngahere o te Matauranga ki Porirua — the Porirua City Council library network across City Centre, Cannons Creek, Pukerua Bay, Whitby and Titahi Bay branches. Fine-free, with Māori and Pacific collections, storytimes, technology courses and book clubs.",Digital courses and Skinny Jump | Storytimes and children's programmes | Te Fale Vānanga craft group | Coding Club at Whitby,libraries | digital inclusion | heritage
Living Wage Porirua,Advocacy / Research,How We Roll,"How We Roll, Weaving Porirua Together",Living Wage Porirua,Porirua,-41.138,174.842,https://www.livingwage.org.nz/,"Community, union and faith-based Living Wage Movement network in Porirua that campaigned for 10+ years to secure Porirua City Council's 2022 accreditation as a Living Wage Employer.",Porirua City Council Living Wage accreditation | Local elections engagement | Worker and union organising,Living Wage | union | faith
